Rank Name Federation BirthYear Rating RD
1 Kosteniuk, Alexandra	SUI 1984 2445.03 71.26
76 Sikorova, Olga	CZE 1975 2105.29 66.12
77 Llaneza Vega, Patricia	ESP 1979 2103.90 67.62
78 Vasilevich, Tatjana	RUS 1977 2100.03 71.89
79 Srdanovic, Jovana	SRB 2003 2096.33 63.03
80 Hoang, Thi Bao Tram	VIE 1987 2096.08 74.62
81 Beydullayeva, Govhar	AZE 2003 2092.92 66.85
82 Schippke, Manon	FRA 2007 2092.27 52.31
83 Lach, Aleksandra	POL 1995 2091.69 62.65
84 Vo, Thi Kim Phung	VIE 1993 2090.45 72.48
85 Fataliyeva, Ulviyya	AZE 1996 2087.99 67.69
86 Tomilova, Elena	RUS 1986 2087.63 56.69
87 Rakhmangulova, Anastasiya	UKR 1994 2086.70 63.05
88 Gaal, Zsoka	HUN 2007 2085.86 69.43
89 Soubirou, Oriane	FRA 1993 2085.73 51.00
90 Rogule, Laura	LAT 1988 2084.55 60.38
91 Sukhareva, Evgeniya	RUS 1987 2084.52 48.81
92 Gritsayeva, Oksana	RUS 1980 2082.55 64.18
93 Golubova, Anna	RUS 2001 2082.42 72.72
94 Borda Rodas, Anapaola S.	ARG 2004 2079.63 72.96
95 Borisova, Ekaterina	RUS 2000 2077.01 39.64
96 Paramzina, Anastasya	FID 1998 2075.25 64.93
97 Nasyrova, Ekaterina	RUS 2005 2074.76 59.51
98 Forgas Moreno, Yaniela	CUB 1992 2074.61 64.37
99 Solozhenkina, Elizaveta	RUS 2003 2073.68 70.24
100 Maletina, Tatiana	RUS 1994 2071.71 53.05
